ain't,am not
aren't,are not
can't,can not
could've,could have
couldn't,could not
couldn't've,could not have
didn't,did not
don't,do not
doesn't,does not
hadn't,had not
hadn't've,had not have
hasn't,has not
haven't ,have not
he'd,he would
he's,he is
he'll,he will
he'd've,he would have
here's,here is
how'd,how would
how's,how is
how'll,how will
i'm,i am
im,i am
i'd,i would
i've,i have
i'll,i will
i'd've,i would have
isn't,is not
it'd,it would
it's,it is
its,it is
it'll,it will
it'd've,it would have
let's,let us
ma'am,madam
might've,might have
mightn't,might not
mightn't've,might not have
must've,must have
mustn't,must not
needn't,need not
not've,not have
n't,not
o'clock,of the clock
oughtn't,ought not
shan't,shall not
she'd,she would
she's,she is
she'll,she will
she'd've,she would have
should've,should have
should't've,should not have
that's,that is
that'll,that will
there're,there are
there'd,there would
there's,there is
there'd've,there would have
they're,they are
they'd,they would
they've,they have
they'll,they will
they'd've,they would have
was't,was not
we're,we are
we'd,we would
we've,we have
we'll,we will
we'd've,we would have
weren't,were not
what're,what are
what's,what is
what've,what have
what'll,what will
when's,when is
where'd,where did
where's,where is
where've,where have
who're,who are
who's,who is
who've,who have
who'll,who will
who'd,who would
who'd've,who would have
why're,why are
why's,why is
why'll,why will
won't,will not
would've,would have
wouldn't,would not
you're,you are
y'all,you all
you'd,you would
you've ,you have
you'll ,you will
you'd've ,you would have
u,you
em,them
da,the
yo,you
ur,your
ll,will not
t,not
ve,have not
s,is not
re,are not
d,would
